Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2,Base,HighIndex,Ecology_23,Mean_room_square_onLS,Mean_room_square_onS,UsefulSquare
14038,35,2,47.981561235175036,29.44275054713416,6.0,7.0,9.0,1969,0.089039719,1,1,33,7976,5,540.0,0,11,1,1,0.78,2,14.7214,23.9908,1.6297
15053,41,3,65.68363987232783,40.04954252356546,8.0,7.0,9.0,1978,6.99893e-05,1,1,46,10309,1,240.0,1,16,1,1,0.78,2,13.3498,21.8945,1.6401
4765,53,2,44.947952764125006,29.1976116880482,3.0,8.0,12.0,1968,0.049637257,1,1,34,7759,0,229.0,1,3,1,1,0.67,2,14.5988,22.474,1.5394
5809,58,2,53.352981355613345,52.73151204863503,9.0,8.0,17.0,1977,0.43788524,1,1,23,5735,3,1084.0,0,5,1,1,0.47,2,26.3658,26.6765,1.0118
10783,99,1,39.649191950029994,23.7761691108976,7.0,11.0,12.0,1976,0.012338886,1,1,35,5776,1,2078.0,2,4,1,1,0.92,2,23.7762,39.6492,1.6676
12915,59,3,80.38447920267191,46.68372012823429,12.0,5.0,17.0,2011,0.309479124,1,1,35,7715,4,990.0,0,6,1,1,0.29,2,15.5612,26.7948,1.7219
14549,154,2,62.254113586402504,37.16037741888674,7.0,3.0,5.0,1960,0.460556389,1,1,20,4386,14,620.0,1,5,1,1,0.6,2,18.5802,31.1271,1.6753
11993,74,2,80.31292563185586,74.31292563185586,3.0,0.0,14.0,1977,0.075778755,1,1,6,1437,3,540.0,0,2,1,1,0.0,2,37.1565,40.1565,1.0807
5172,1,2,64.51143730838427,58.511437308384274,3.0,9.0,17.0,1977,0.007122317,1,1,1,264,0,540.0,0,1,1,1,0.53,2,29.2557,32.2557,1.1025
8649,23,1,46.46140869718414,18.915552483878766,8.0,13.0,17.0,2014,0.075778755,1,1,6,1437,3,540.0,0,2,1,1,0.76,2,18.9156,46.4614,2.4563
15370,28,2,46.30490677332586,27.922584447134266,6.0,8.0,9.0,1973,0.118537385,1,1,30,6207,1,1183.0,1,0,1,1,0.89,2,13.9613,23.1525,1.6583
12427,31,3,68.80885909839964,45.736905639421956,7.0,1.0,8.0,1959,0.0,1,1,23,3684,2,540.0,0,4,1,1,0.12,2,15.2456,22.9363,1.5044
6452,13,2,54.5228049029371,31.75975305618809,3.0,8.0,12.0,1999,0.090799103,1,1,74,19083,2,1575.0,5,15,1,1,0.67,2,15.8799,27.2614,1.7167
2408,57,3,68.10273923286483,39.3114930561345,8.0,6.0,12.0,1980,0.13321533300000002,1,1,49,11395,3,1406.0,3,4,0,1,0.5,2,13.1038,22.7009,1.7324
10953,27,1,53.769097136525275,52.40802696611313,3.0,4.0,5.0,1977,0.072157581,1,1,2,629,1,540.0,0,0,0,1,0.8,2,52.408,53.7691,1.026
2823,85,3,73.6122247317727,53.89208948435271,6.0,4.0,9.0,1979,0.037177818,1,1,52,11217,1,2300.0,1,7,1,1,0.44,2,17.964,24.5374,1.3659
2119,27,2,49.36064780032354,31.993963547007414,5.0,5.0,6.0,1983,0.051815435,1,1,5,1227,0,540.0,0,0,1,1,0.83,2,15.997,24.6803,1.5428
3000,34,2,57.969964222530145,32.01248263525128,9.0,6.0,14.0,2001,0.069753361,1,1,53,13670,4,620.0,1,11,1,1,0.43,2,16.0062,28.985,1.8109
2829,57,1,44.51348081256669,23.113423134573804,8.0,6.0,12.0,1983,0.13321533300000002,1,1,49,11395,3,1406.0,3,4,0,1,0.5,2,23.1134,44.5135,1.9259
4909,19,3,110.95979224728356,56.996764901321505,11.0,16.0,25.0,2012,0.000991363,1,1,33,6783,3,620.0,1,9,1,1,0.64,2,18.9989,36.9866,1.9468
8862,0,3,103.60529197422831,47.799426262469524,10.0,12.0,17.0,2002,0.319809354,1,1,25,4756,16,2857.0,5,8,1,1,0.71,2,15.9331,34.5351,2.1675
11935,27,2,64.71183493873933,58.71183493873933,3.0,1.0,15.0,1977,0.211401214,1,1,9,1892,0,540.0,0,1,1,1,0.07,2,29.3559,32.3559,1.1022
11852,48,1,41.668649656506325,20.207761889892915,10.0,19.0,22.0,1996,0.041124634,1,1,46,9515,5,620.0,1,10,1,1,0.86,2,20.2078,41.6686,2.062
6641,54,3,118.90761184257369,112.90761184257369,3.0,0.0,2.0,1977,0.006076152,1,1,30,5285,0,645.0,6,6,1,1,0.0,2,37.6359,39.6359,1.0531
7704,150,3,62.180535989371776,44.169694075407364,5.0,4.0,5.0,1964,0.020741326,1,1,24,5613,5,1340.0,2,5,1,1,0.8,2,14.7232,20.7268,1.4078
5073,74,2,82.66791473448255,76.66791473448255,3.0,16.0,17.0,1977,0.075778755,1,1,6,1437,3,540.0,0,2,1,1,0.94,2,38.334,41.334,1.0783
4378,27,3,106.95887123511149,64.18221077821484,3.0,0.0,17.0,2018,0.072157581,1,1,2,629,1,540.0,0,0,0,1,0.0,2,21.3941,35.653,1.6665
7550,23,2,64.55620925344805,58.556209253448046,3.0,8.0,17.0,1977,0.075778755,1,1,6,1437,3,540.0,0,2,1,1,0.47,2,29.2781,32.2781,1.1025
8054,23,1,43.96775892567469,42.53004325868857,3.0,3.0,9.0,2014,0.034656082000000005,1,1,0,168,0,540.0,0,0,1,1,0.33,2,42.53,43.9678,1.0338
522,11,2,48.37223191245333,31.00758147862463,6.0,4.0,9.0,1972,0.00016967599999999998,1,1,36,5992,0,620.0,1,1,1,1,0.44,2,15.5038,24.1861,1.56
89,50,2,39.43535081853332,23.37768698871145,7.0,9.0,9.0,1965,0.007658515,1,1,35,7077,56,2301.0,3,19,1,1,1.0,2,11.6888,19.7177,1.6869
4785,61,1,41.7651555000357,19.343185677164602,9.0,12.0,16.0,1984,0.300322518,1,1,52,10311,6,620.0,1,9,1,1,0.75,2,19.3432,41.7652,2.1592
